latitude,longitude,site_name,marine_animal,scientific_name,month,hour_of_day,is_day,is_peak_sun_hours,wave_height,wave_direction,sea_surface_temperature,ocean_current_velocity,ocean_current_direction,sea_level_height_msl,uv_index_max,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,wind_speed_120m,wind_direction_120m,pressure_msl,surface_pressure,typical_depth,animal_probability,best_months,weather_condition,notes,safety_score,verdict,recommended_suit,recommended_spf
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,4,9,1,0,1.79,308,26.5,1.3,204,0.2,5.3,28.4,87,66,0.1,8.8,101,1016.1,1010.2,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,47,Unsafe,3mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,4,12,1,1,1.42,240,26.3,0.71,216,-0.14,6.0,26.4,45,33,5.7,9.6,345,1021.5,1013.1,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,64,Safe,3mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,12,7,1,0,2.95,124,22.8,0.18,162,-0.33,3.4,23.2,42,57,5.1,1.4,67,1020.0,1003.7,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,52,Unsafe,5mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,12,16,1,0,0.22,76,22.9,0.75,278,0.32,2.7,22.9,53,55,0.8,3.3,27,1012.4,1001.1,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,82,Safe,5mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,12,7,1,0,2.42,160,21.4,1.32,150,-0.01,2.3,22.0,67,32,7.3,1.1,19,1006.4,1013.1,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,37,Unsafe,5mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,6,17,1,0,0.29,237,25.7,1.38,85,-0.19,4.1,26.0,77,42,3.4,1.9,52,1017.3,1012.8,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,68,Safe,3mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,2,18,1,0,2.89,307,20.1,0.59,74,-0.12,4.8,21.9,55,0,7.2,12.3,230,1018.3,1004.0,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,45,Unsafe,5mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,3,8,1,0,1.33,43,23.9,0.94,69,-0.25,3.6,26.2,79,58,4.7,4.5,312,1015.1,1000.9,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,61,Safe,5mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,12,6,1,0,2.82,185,19.1,0.6,336,0.08,3.7,21.1,45,61,6.8,4.3,3,1005.3,1018.0,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,44,Unsafe,semi-dry suit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,7,12,1,1,0.73,52,27.1,0.38,291,-0.16,4.8,28.4,86,2,4.8,11.9,99,1011.7,1011.4,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,81,Safe,3mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,8,11,1,1,1.61,325,28.6,0.14,267,0.31,8.8,28.8,45,61,6.7,7.5,45,1007.0,1017.2,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,63,Safe,light wetsuit,SPF 50+
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,12,9,1,0,3.15,106,18.0,1.36,155,-0.12,3.3,19.6,42,16,3.8,4.1,342,1006.5,1014.9,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,22,Unsafe,semi-dry suit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,5,17,1,0,0.91,86,26.4,0.08,102,0.33,4.6,28.2,44,14,3.0,4.3,57,1022.5,1002.3,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,85,Safe,3mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,11,17,1,0,0.65,359,26.2,1.1,243,-0.38,3.1,27.9,50,28,6.2,5.7,129,1009.2,1004.3,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,68,Safe,3mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,8,18,1,0,1.64,311,25.4,0.28,49,-0.03,3.1,27.7,69,67,2.3,2.9,328,1018.0,1005.5,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,70,Safe,3mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,8,11,1,1,3.07,183,29.5,1.37,215,0.44,6.6,30.4,53,68,1.4,13.5,322,1014.9,1014.0,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,27,Unsafe,light wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,7,9,1,0,2.21,75,30.6,1.33,28,-0.25,3.3,32.2,51,32,1.1,4.5,118,1021.9,1011.7,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,40,Unsafe,light wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,11,6,1,0,0.82,136,27.4,1.15,150,0.37,2.8,29.3,42,9,4.9,1.1,11,1012.3,1015.2,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,65,Safe,3mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,5,14,1,1,1.26,187,20.2,0.88,354,0.19,7.3,22.5,83,37,5.6,8.5,20,1011.8,1004.3,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,63,Safe,5mm wetsuit,SPF 50+
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,7,7,1,0,1.23,174,30.5,0.68,144,-0.18,6.9,32.6,63,44,6.7,9.6,46,1022.0,1002.1,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,68,Safe,light wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,2,18,1,0,2.05,223,20.0,1.1,143,0.05,4.3,22.5,81,0,4.5,11.3,115,1007.9,1002.1,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,47,Unsafe,5mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,1,6,1,0,3.16,297,17.3,0.61,8,-0.08,3.3,19.3,87,41,0.2,1.9,80,1020.8,1018.4,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,35,Unsafe,semi-dry suit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,4,6,1,0,0.67,201,23.0,1.28,48,0.16,3.1,25.3,62,25,6.5,1.9,129,1019.4,1007.2,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,64,Safe,5mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,10,6,1,0,0.34,277,21.8,1.02,199,0.49,5.2,24.0,57,48,3.2,6.3,101,1018.8,1004.5,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,74,Safe,5mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,3,14,1,1,2.69,349,23.3,0.24,307,0.37,4.8,23.6,51,22,7.4,8.4,223,1010.5,1010.7,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,55,Unsafe,5mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,9,17,1,0,3.13,240,22.6,0.55,119,-0.35,3.4,23.9,61,5,6.7,1.0,80,1010.9,1005.1,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,42,Unsafe,5mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,4,15,1,1,0.78,112,27.3,0.09,171,-0.3,5.9,29.2,84,54,5.8,2.4,250,1007.4,1011.8,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,86,Safe,3mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,10,9,1,0,0.94,339,23.5,0.75,89,0.46,5.7,26.2,75,31,2.6,4.9,40,1007.5,1006.0,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,71,Safe,5mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,1,13,1,1,2.95,345,20.6,0.57,94,0.15,4.1,22.3,57,45,1.3,2.3,254,1018.0,1002.0,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,44,Unsafe,5mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,9,13,1,1,3.18,4,25.4,1.19,75,-0.09,8.8,27.5,54,56,8.0,13.7,123,1007.1,1001.5,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,18,Unsafe,3mm wetsuit,SPF 50+
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,4,18,1,0,2.49,48,20.1,0.3,14,-0.25,5.1,20.5,59,12,2.2,9.8,89,1022.8,1011.4,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,57,Unsafe,5mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,6,14,1,1,1.44,117,28.4,0.07,314,-0.11,9.3,31.3,87,48,4.6,10.3,335,1011.1,1003.5,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,67,Safe,light wetsuit,SPF 50+
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,4,17,1,0,3.01,96,23.1,0.9,127,0.12,3.5,24.2,71,72,5.7,7.3,318,1023.8,1018.5,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,37,Unsafe,5mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,4,6,1,0,2.62,135,27.9,1.19,14,-0.29,6.0,28.2,85,10,6.8,13.7,85,1023.4,1003.4,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,37,Unsafe,3mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,9,18,1,0,1.17,338,25.9,0.97,283,0.34,4.6,28.8,81,45,8.0,10.1,318,1019.4,1016.9,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,63,Safe,3mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,1,14,1,1,3.12,105,23.9,0.88,116,-0.39,6.8,24.2,72,27,3.3,8.3,297,1013.7,1002.5,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,36,Unsafe,5mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,9,6,1,0,0.73,228,23.3,0.63,337,0.18,3.3,24.6,44,62,3.5,10.4,74,1014.0,1007.0,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,76,Safe,5mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,6,12,1,1,2.77,47,30.5,1.07,115,0.38,5.1,31.5,68,33,0.0,8.6,201,1013.0,1004.8,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,37,Unsafe,light wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,9,18,1,0,0.99,154,26.5,1.31,105,0.32,6.0,27.0,70,0,6.4,7.9,347,1022.4,1012.4,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,59,Unsafe,3mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,10,8,1,0,1.2,255,27.5,0.63,65,-0.06,4.7,30.0,90,67,5.2,2.7,330,1011.9,1002.9,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,69,Safe,3mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,9,13,1,1,2.52,304,27.2,0.69,123,0.01,5.3,30.0,45,8,6.2,9.2,93,1010.7,1006.6,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,48,Unsafe,3mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,5,14,1,1,2.45,70,21.5,0.08,176,0.19,7.2,22.4,68,21,6.7,8.3,27,1009.1,1001.7,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,62,Safe,5mm wetsuit,SPF 50+
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,8,13,1,1,0.9,175,30.5,1.17,238,0.15,4.5,31.7,47,20,7.4,2.8,128,1014.6,1003.2,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,63,Safe,light wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,4,11,1,1,1.91,11,22.3,0.48,252,0.49,5.9,22.5,63,26,2.0,6.8,61,1016.7,1001.3,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,62,Safe,5mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,1,7,1,0,2.71,94,21.7,0.83,343,-0.5,3.9,23.2,83,30,7.8,9.9,183,1013.6,1012.7,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,43,Unsafe,5mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,5,10,1,1,2.71,49,20.7,0.41,81,-0.38,8.0,23.0,74,67,2.5,1.3,94,1020.4,1008.0,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,51,Unsafe,5mm wetsuit,SPF 50+
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,7,14,1,1,0.42,33,29.2,0.09,349,-0.24,5.1,29.8,76,32,4.0,11.3,238,1006.6,1013.0,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,92,Safe,light wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,8,10,1,1,1.26,195,28.1,0.59,288,0.16,6.4,30.9,84,78,5.8,6.5,110,1011.6,1009.2,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,69,Safe,light wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,12,13,1,1,0.21,261,19.9,0.31,45,0.49,6.8,21.3,66,21,0.2,3.0,154,1005.6,1018.8,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,90,Safe,semi-dry suit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,4,8,1,0,0.47,261,24.5,1.39,345,0.47,4.3,25.5,77,49,7.3,9.3,51,1021.1,1018.0,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,65,Safe,3mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,1,9,1,0,1.01,256,18.8,1.04,304,0.29,5.0,21.4,85,18,2.0,11.4,84,1023.9,1016.2,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,62,Safe,semi-dry suit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,4,15,1,1,2.8,174,26.0,0.74,235,-0.24,6.6,26.9,89,66,4.8,10.3,205,1022.1,1006.3,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,43,Unsafe,3mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,5,8,1,0,3.18,263,23.0,1.35,228,0.04,5.8,23.6,88,54,6.2,8.9,77,1015.2,1017.6,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,25,Unsafe,5mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,5,18,1,0,0.43,142,26.3,0.95,122,0.42,4.4,27.0,50,61,1.9,10.8,290,1014.2,1016.6,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,75,Safe,3mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,12,12,1,1,1.17,28,21.1,1.22,20,0.17,5.9,23.9,87,58,3.8,9.5,302,1020.2,1006.9,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,58,Unsafe,5mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,11,15,1,1,2.79,265,21.6,1.02,7,0.02,9.5,23.4,45,34,4.0,9.9,199,1021.8,1004.8,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,28,Unsafe,5mm wetsuit,SPF 50+
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,4,13,1,1,1.71,45,26.2,1.16,265,0.26,5.0,28.9,84,6,1.1,9.4,226,1023.6,1018.7,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,51,Unsafe,3mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,8,9,1,0,2.55,6,25.3,0.65,136,-0.08,3.3,28.0,75,30,0.9,10.7,74,1013.9,1007.0,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,49,Unsafe,3mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,2,11,1,1,2.82,9,18.1,1.18,49,0.28,6.9,20.1,79,6,5.0,7.6,111,1009.9,1012.5,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,30,Unsafe,semi-dry suit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,11,14,1,1,0.27,285,21.4,1.19,312,0.39,5.3,22.0,46,78,3.8,13.1,95,1015.9,1018.1,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,72,Safe,5mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,1,18,1,0,1.79,112,21.8,0.67,274,-0.21,3.1,22.6,41,77,0.2,2.4,6,1009.4,1014.6,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,60,Safe,5mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,10,13,1,1,1.82,28,21.5,1.1,28,0.03,6.1,24.3,45,67,5.2,6.3,73,1018.2,1009.8,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,51,Unsafe,5mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,4,16,1,0,1.38,112,24.3,0.48,359,-0.09,5.0,25.9,51,3,4.1,5.7,312,1009.9,1011.1,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,70,Safe,3mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,10,10,1,1,2.96,144,24.2,0.81,72,0.3,6.2,27.0,43,10,7.2,4.0,359,1013.1,1005.5,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,39,Unsafe,3mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,2,7,1,0,3.07,348,18.6,0.84,269,-0.2,5.0,20.0,42,0,7.8,2.6,259,1019.8,1006.2,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,34,Unsafe,semi-dry suit,SPF 30
